Course ID	Subject	Catalog	Subject Description	 Course Description	Attribute Formal Desc
19	AMES	 165S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(ALP) Arts, Literature & Performance
19	AMES	 165S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(CCI) Cross Cultural Inquiry
19	AMES	 165S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(CZ) Civilizations
19	AMES	 165S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	Seminar
19	CULANTH	 365S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(ALP) Arts, Literature & Performance
19	CULANTH	 365S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(CCI) Cross Cultural Inquiry
19	CULANTH	 365S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	(CZ) Civilizations
19	CULANTH	 365S	THE WORLD OF JAPANESE POP CULT	An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.	Seminar
22	LIT	290	SP TOP INT'L LIT & CULTURE	Topics in international culture, examined through literary texts, film, and other media. Organized according to trends, topics, and genres.	Topics Course
40	AMES	129	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(ALP) Arts, Literature & Performance
40	AMES	129	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CCI) Cross Cultural Inquiry
40	AMES	129	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CZ) Civilizations
40	CINE	250	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(ALP) Arts, Literature & Performance
40	CINE	250	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CCI) Cross Cultural Inquiry
40	CINE	250	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CZ) Civilizations
40	LIT	214	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(ALP) Arts, Literature & Performance
40	LIT	214	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CCI) Cross Cultural Inquiry
40	LIT	214	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CZ) Civilizations
40	VMS	235	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(ALP) Arts, Literature & Performance
40	VMS	235	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CCI) Cross Cultural Inquiry
40	VMS	235	MASTERS OF CHINESE CINEMA	Films, documentaries, television series, and soap operas produced in Mainland China in the post-Mao era, modern and contemporary Taiwan, and Hong Kong. Topics include the history and aesthetics of the new wave cinema, soap operas as the new forum for public debate o popular culture, and debate over the relationship between Euro-American modernist and the national cinema.	(CZ) Civilizations
64	AAAS	  89S	FIRST-YEAR SEMINAR (TOP)	Topics vary each semester offered.	Seminar
64	AAAS	  89S	FIRST-YEAR SEMINAR (TOP)	Topics vary each semester offered.	Topics Course
75	AAAS	 190S	SPECIAL TOPICS	Seminar version of African & African American Studies 190.	Seminar
75	AAAS	 190S	SPECIAL TOPICS	Seminar version of African & African American Studies 190.	Topics Course
81	AAAS	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(CCI) Cross Cultural Inquiry
81	AAAS	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(CZ) Civilizations
81	AAAS	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(SS) Social Sciences
81	LIT	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(CCI) Cross Cultural Inquiry
